;Código do produto;Produto;Valor de compra com impostos;media de preços com impostos
0;16;Gestão Financeira Lucrativa 3.0;65049.27999999999;844.7958441558441
1;1;Iluminismo Financeiro 2.1;64748.01;1135.93
2;2;yampa - software financeiro da 4blue;40443.220000000365;37.37820702402991
3;15;Gestão Financeira Lucrativa 1.0;35901.68;652.7578181818182
4;13;Curso de Precificação para Produtos e Serviços;12033.679999999998;207.47724137931033
5;14;Iluminismo Financeiro 2.0;5772.219999999999;412.3014285714285
6;11;Curso de Controle Financeiro e Fluxo de Caixa;5039.199999999999;219.095652173913
7;3;Maratona de Finanças - Experiência VIP;1852.599999999997;19.501052631578915
8;5;Gestão Financeira Lucrativa 2.0;1388.94;277.788
9;7;Finanças 4you -  Curso de Finanças Pessoais da 4blue;1333.69;121.24454545454546
10;10;Formação em Gestão Financeira Online;1217.02;608.51
11;21;Curso de Gestão e Planejamento Estratégico (FGE);1151.1;1151.1
12;17;Precificação para Serviços;781.26;156.252
13;20;14 Técnicas para Vender Mais 2.0;772.01;386.005
14;4;Precificação para Produtos;764.0;191.0
15;27;Ferramenta: Turbinador de Lucros!;692.09;115.34833333333334
16;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;644.51;107.41833333333334
17;25;Curso de Produtividade e Gestão do Tempo para Empreendedores;543.1800000000001;135.79500000000002
18;18;Ferramenta de Precificação Turbinada para Produtos e Serviços;500.0;500.0
19;23;Curso de Separação das Finanças;226.95;113.475
20;28;Como Criar uma Consultoria de Sucesso;190.0;190.0
21;19;Ferramenta de Contas a Pagar ;39.9;39.9
22;12;Ferramenta de Ponto de Equilíbrio ;39.9;39.9
23;22;Ferramenta de Finanças Pessoais - Básico;39.8;19.9
24;24;Yampa - Sistema de Controle Financeiro para Pequenas Empresas;5.0;5.0
