;Código do produto;Produto;0
0;2;yampa - software financeiro da 4blue;1082
1;3;Maratona de Finanças - Experiência VIP;95
2;16;Gestão Financeira Lucrativa 3.0;77
3;13;Curso de Precificação para Produtos e Serviços;58
4;1;Iluminismo Financeiro 2.1;57
5;15;Gestão Financeira Lucrativa 1.0;55
6;11;Curso de Controle Financeiro e Fluxo de Caixa;23
7;14;Iluminismo Financeiro 2.0;14
8;7;Finanças 4you -  Curso de Finanças Pessoais da 4blue;11
9;27;Ferramenta: Turbinador de Lucros!;6
10;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;6
11;5;Gestão Financeira Lucrativa 2.0;5
12;17;Precificação para Serviços;5
13;4;Precificação para Produtos;4
14;25;Curso de Produtividade e Gestão do Tempo para Empreendedores;4
15;23;Curso de Separação das Finanças;2
16;10;Formação em Gestão Financeira Online;2
17;20;14 Técnicas para Vender Mais 2.0;2
18;22;Ferramenta de Finanças Pessoais - Básico;2
19;24;Yampa - Sistema de Controle Financeiro para Pequenas Empresas;1
20;18;Ferramenta de Precificação Turbinada para Produtos e Serviços;1
21;21;Curso de Gestão e Planejamento Estratégico (FGE);1
22;19;Ferramenta de Contas a Pagar ;1
23;12;Ferramenta de Ponto de Equilíbrio ;1
24;28;Como Criar uma Consultoria de Sucesso;1
